comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
1,0.05898407948552702,661713,7997,57894053.85055715,178177,-1360387549505.361,0,1084.5218740359896,272713,3127.5800288571572,299931,SANTIAGO ORIENTE,69594
2,0.03553998915999365,380323,461,21062148.058289483,104184,2366428999076.7295,0,3614.103376921134,277389,2558.7811095606985,276408,SANTIAGO SUR,43156
3,0.03549621059505174,132172,195,34075127.4876929,77935,-9026454.552749448,0,428.6212430334395,91980,4176.734424650939,111402,7MA UNIDAD REGIONAL MAULE,23434
4,0.05232411621060656,126874,215,16809150.54790472,58530,-2286608.722882545,0,731.802948169282,95329,2716.9130699680745,85841,SANTIAGO CENTRO,12410
5,0.04254947189752392,91763,84,3474079.966103649,74416,3005060.647581269,0,1214.2671262386903,87121,3333.55677404615,87386,SANTIAGO SUR,14736
6,0.03132381398122443,84664,178,16251884.708877098,56772,-29710061.162961826,0,611.0258929485211,65122,3974.924091257936,70331,10MA UNIDAD REGIONAL LOS LAGOS,24071
7,0.04483376113278948,79145,1481,1316576.733867324,54800,-368081.6219975993,0,133.59584002705674,67318,1628.2127472527472,70045,SANTIAGO SUR,8698
8,0.029528178957451717,72192,78,37030871.72016892,42592,147714597.4048094,0,1395.5030153741611,60419,6588.153998025667,35724,SANTIAGO ORIENTE,16929
9,0.026913625097589673,64853,153,22748670.601154786,42338,-763580.2573666599,0,2467.8033022254126,56495,4351.0058768765275,47667,SANTIAGO ORIENTE,16782
10,0.031246980514955267,62340,168,22563739.030995157,29722,7115330.89202759,0,756.287839407178,44257,4769.778193283472,35064,SANTIAGO ORIENTE,11599
11,0.03677914706695955,57654,69,11121855.528884908,50955,18428120.658115655,0,2437.9867674858224,56596,3371.63470993117,55620,SANTIAGO CENTRO,6607
12,0.02865521403571619,52071,59,5215889.315438726,43968,1426966.9522574947,0,2020.6150676868747,50372,4257.8044853364,50332,SANTIAGO ORIENTE,6148
13,0.03867849545599733,51573,59,28882779.176755447,41661,-2444346.879103407,0,680.7972177635099,47835,3874.5561611374405,47353,SANTIAGO ORIENTE,17794
14,0.03301435815131947,50387,281,13527341.981767723,21921,-914908.5579018397,0,1304.0037122587032,38265,2970.0664940155384,21813,SANTIAGO ORIENTE,14861
15,0.024333007934568763,49746,38,6644478.52166444,44507,232056.50209062034,0,5747.904841402337,49147,4729.571428571428,48864,SANTIAGO ORIENTE,7789
16,0.022797653729826988,48134,48,19226044.60319553,29170,14008267.362654258,0,1261.3799946723495,40626,7799.976326248488,30773,8VA UNIDAD REGIONAL BIO BIO,7095
17,0.02682157626183231,46974,43,15230421.823857542,37652,-2312809.7282965044,0,6406.91027027027,45124,2836.0613478392265,43665,SANTIAGO SUR,6797
18,0.03572214311096236,45983,85,18146065.433658104,29048,9106573.299545484,0,1301.3984533984535,38612,5728.818673218673,31738,SANTIAGO CENTRO,5031
19,0.03717482147047358,38622,77,27590352.28486872,32033,513456370.03640413,0,2684.8810916179336,37083,4642.146054840515,35048,SANTIAGO ORIENTE,13837
20,0.024015460757654754,37825,20,8118344.65834039,30739,-8749107.930072702,0,284.163707493229,34502,3009.056627729812,33887,SANTIAGO ORIENTE,5938
21,0.06242456651557925,36759,28,10491185.483222548,17954,3591146.860850404,0,882.154980439362,33436,1888.4372628383505,28853,SANTIAGO SUR,4315
22,0.036895249156679,36064,11,11315829.967054475,17670,-4337413.457159494,0,853.5946984248943,28255,2878.78479056527,23769,SANTIAGO ORIENTE,5312
23,0.03918205933713994,36002,82,2998882.0932231965,30070,4059308184.7509584,0,1342.2523779327837,34425,4891.059907834101,33615,SANTIAGO SUR,7670
24,0.026884688899737885,30730,39,10006247.603617413,24206,-994784.0697038724,0,605.5383693045563,27394,3327.0785907859076,29254,SANTIAGO SUR,5277
25,0.031126199918721356,29947,120,24207905.87764719,12334,2026072.5689384579,0,1241.2524545900835,21799,3874.862285262206,12251,SANTIAGO ORIENTE,7778
26,0.03173039955231385,29437,122,3007762.456696716,17013,1337257.75109556,0,466.4488341968912,24805,3515.2448567229976,18549,SANTIAGO ORIENTE,5945
27,0.0361842126636248,29001,44,10080464.83206107,21010,234307.37912485778,0,822.0487904879049,24123,2451.7771626297576,24666,SANTIAGO SUR,4737
28,0.038268953734251314,28608,41,33411233.01357159,24187,7013238.759263143,0,1444.8291054739652,27110,5234.055475848876,26517,SANTIAGO SUR,3144
29,0.018275822598820827,28197,26,10372569.300081765,23305,1953547.273114161,0,331.40444893832154,26219,3081.994001713796,27030,8VA UNIDAD REGIONAL BIO BIO,6416
30,0.03807065992002437,27934,125,44107678.05511596,13274,-19818144.030285675,0,3286.063368839141,22395,4973.878948007775,11470,SANTIAGO SUR,5961
31,0.03214607363970107,27446,22,27592781.364380267,23291,-1473548.0412081906,0,848.1044247787611,25751,3600.556461731493,25852,8VA UNIDAD REGIONAL BIO BIO,3005
32,0.017863124414307294,27446,16,12224881.995311454,24460,-910753.4399183852,0,558.7009925558312,26640,3143.0175879396984,27048,SANTIAGO SUR,7585
33,0.031630313681269666,25853,78,22642294.462392934,18381,2040653.2842996945,0,1113.2605426610003,22794,5563.648909039388,22324,SANTIAGO ORIENTE,5269
34,0.02446687198016774,25793,25,24812453.98630137,23676,-857201.0490443143,0,2366.1803278688526,25488,4310.927756653992,25530,SANTIAGO ORIENTE,3423
35,0.03299928231669611,25184,16,1098858.8617801047,18499,476529.9820123888,0,2081.935563816605,24377,1775.689108910891,23164,SANTIAGO SUR,4157
36,0.025651920073433997,25107,11,6734422.536363636,19717,84452.18970804955,0,2252.5542168674697,24111,2027.8045602605864,23572,8VA UNIDAD REGIONAL BIO BIO,5067
37,0.028835146364370543,24995,34,35213633.47501622,21913,-4140664.031246249,0,834.9173228346457,24233,3867.0403645833335,24227,SANTIAGO ORIENTE,3551
38,0.07783583298812073,24578,58,27641166.500354107,18930,-5275367.158922614,0,572.2576383154418,22156,3983.0955631399315,21941,SANTIAGO SUR,3736
39,0.024102626768710986,24171,17,28284569.038690478,20811,1218390.4324603863,0,538.1643690349947,23228,3806.903546099291,23466,SANTIAGO ORIENTE,6701
40,0.021675868964094725,24032,18,12247939.817515923,20892,-696301.6130575899,0,912.4819700967458,22895,3878.0754491017965,23197,4TA UNIDAD REGIONAL COQUIMBO,12222
41,0.02672070142032349,23917,55,33651825.79262615,15970,2585701.079650458,0,2822.1177552897884,21743,4941.372290780877,14274,SANTIAGO ORIENTE,10753
42,0.026881796341673217,23292,33,31093943.69505755,15907,427817.1792890263,0,631.3611487401788,19601,5036.406845334194,20195,9NA UNIDAD REGIONAL TEMUCO,3471
43,0.02551614711279756,22565,29,17214523.57111976,17939,4103237.4976290716,0,1027.6117775354417,20731,6250.905786704926,20474,SANTIAGO SUR,2871
44,0.03069722092911774,21730,9,10476739.308178438,19040,1883337.3382880809,0,714.2949507389162,20106,4774.186965811966,19858,9NA UNIDAD REGIONAL TEMUCO,8068
45,0.052130524237711806,21311,22,28806102.940776587,12632,922662.9153488808,0,1011.7778282598819,19110,4293.279137839276,17553,SANTIAGO ORIENTE,5819
46,0.06009001644586466,20278,8,4900659.662193699,18564,696490.461238781,0,984.3470588235294,19938,2809.962962962963,20008,SANTIAGO SUR,2043
47,0.05646191217356269,19944,11,2994631.3665620093,17396,-435916.5597673486,0,1008.8102766798419,18932,3005.477876106195,19831,5TA UNIDAD REGIONAL VALPARAISO,2340
48,0.03217940785950683,19806,16,24851687.404955085,12904,9811346.700444309,0,1378.7731888964117,16852,6402.465396188566,14821,10MA UNIDAD REGIONAL LOS LAGOS,8282
49,0.06668209213183171,18576,17,12912743.999904104,8148,-2898712.6607988803,0,602.4603566009105,13304,2120.489439275836,10622,SANTIAGO ORIENTE,3761
50,0.026812956405359335,18311,16,48258349.87074978,9135,26736220.501447216,0,896.8601924233313,11659,3954.48240616622,12343,12MA UNIDAD REGIONAL MAGALLANES,10420
51,0.021086504460764717,17944,13,8782162.992363762,15063,3086129.9093847526,0,283.2671232876712,16922,3210.3796445880453,17325,SANTIAGO SUR,5112
52,0.028778504535137764,17180,10,10253585.078109287,14197,2109564.978637951,0,241.80603096984515,15953,2795.7522321428573,16284,SANTIAGO SUR,3956
53,0.021718880366925302,16856,22,16371957.21844454,14503,-265145.57356430945,0,425.74891774891773,15932,3386.090146750524,16379,7MA UNIDAD REGIONAL MAULE,2249
54,0.032409452649643955,16488,15,57879984.211440824,7625,-80630758.97768074,0,3623.2909987669545,12433,2679.1902768834516,10276,SANTIAGO SUR,2182
55,0.02395158860227632,15729,13,26122748.242748618,9937,12568887.163328882,0,1355.691135734072,13563,7235.035980148883,10087,5TA UNIDAD REGIONAL VALPARAISO,12672
56,0.03433728725816739,15117,10,17681514.766223613,13838,-3659442.8119335845,0,1151.6555183946489,14818,2988.65350877193,14889,SANTIAGO SUR,2312
57,0.03117183627150354,15088,11,26499435.60695469,13190,13194058.944724284,0,800.7282608695652,14536,4039.037356321839,14392,SANTIAGO CENTRO,2692
58,0.03461018517115327,15007,18,26866033.355740182,9711,-5017943.300326514,0,653.7202295552368,12219,2152.01740926527,11618,SANTIAGO PONIENTE,2003
59,0.046021837234177417,14935,10,11558320.39284032,12812,-1267273.372815534,0,368.8836477987421,14299,2975.641853932584,14223,SANTIAGO SUR,1764
60,0.029251443728898676,14505,24,14952190.023037814,8211,-5935221.717959325,0,749.1271911073109,9827,2956.208855694852,10756,SANTIAGO SUR,1838
61,0.030575299663378547,14435,12,32428438.905362777,13167,4552310.557464496,0,511.6935817805383,13952,4558.445045045045,13880,SANTIAGO ORIENTE,2572
62,0.0379916412522829,14233,11,17584116.9991431,13066,2402157.5295440173,0,1481.4875621890546,14032,2535.5142857142855,14058,SANTIAGO CENTRO,2041
63,0.035853951118265975,13773,36,40933375.57564818,10726,-3385949.7217018805,0,803.552304964539,12645,3695.3722986247544,12755,SANTIAGO ORIENTE,4305
64,0.046488607393388594,13630,24,15049417.740350878,7075,-1119438.086500367,0,464.40166293572116,10503,3754.1903532827873,7431,SANTIAGO CENTRO,1249
65,0.017707771429244155,13609,15,12217340.349256068,11055,1247264.5482401352,0,271.6852966466036,12446,3117.2413793103447,12826,5TA UNIDAD REGIONAL VALPARAISO,5294
66,0.04138111764689763,13111,8,28797150.559695818,6536,26018349.469681945,0,598.8558246828143,8776,2595.713160854893,7777,SANTIAGO ORIENTE,2137
67,0.027711132564895057,12537,4,7061753.845238095,12033,-475652.42952859536,0,2216.285714285714,12502,3099.4347826086955,12514,SANTIAGO CENTRO,1097
68,0.033783088323467034,12503,10,19363925.70612621,10332,-1163765.3943853476,0,2447.153713298791,11924,3163.6540084388184,11792,SANTIAGO CENTRO,2861
69,0.03217277856680055,12478,12,31589185.037982974,10951,-15751434.205561789,0,1054.6876190476191,11953,3787.4439252336447,12050,SANTIAGO SUR,3110
70,0.02122015159144807,12162,10,13141395.153222172,9943,4222540.594145699,0,341.07700534759357,11227,3165.1699669966997,11556,5TA UNIDAD REGIONAL VALPARAISO,3789
71,0.29314291175354107,11955,2,3357432.3724279837,10497,301715.34571309073,0,1562.350210970464,11718,2761.3150684931506,11809,10MA UNIDAD REGIONAL LOS LAGOS,1336
72,0.034134709729182616,11921,19,45464506.884615384,8983,-51268944.989094876,0,1091.9701414353065,10012,3640.218435321456,10630,8VA UNIDAD REGIONAL BIO BIO,1758
73,0.026048280739539603,11826,6,13407429.51465126,9403,2646335.453661424,0,254.7584745762712,10646,3152.697421981004,11089,6TA UNIDAD REGIONAL RANCAGUA,6378
74,0.03878395155353548,11802,18,45897805.82920295,10309,-5653873.109727165,0,2446.3760539629006,11209,3282.166917293233,11137,SANTIAGO ORIENTE,1169
75,0.02114034704186004,11586,16,17211254.25479452,10126,-43008.8045054376,0,758.4120982986767,11057,3231.8344827586207,11151,SANTIAGO SUR,2401
76,0.03990656318656751,11463,6,19840249.071487263,9029,-8040621.18930472,0,1012.2764920828258,10642,1856.2903739061258,10206,SANTIAGO SUR,2216
77,0.03485165175831319,11087,6,15399913.696641387,10164,-2007211.433841436,0,1113.4285714285713,10919,3173.048484848485,10922,SANTIAGO CENTRO,1428
78,0.028485661549729476,11068,14,77794938.6969147,9966,-9366637.600198772,0,7292.194444444444,10780,3254.167381974249,10602,6TA UNIDAD REGIONAL RANCAGUA,4834
79,0.03189655480331026,10926,30,16472182.228153046,8809,7449041.365824639,0,624.545827633379,10195,4249.740489130435,10190,SANTIAGO ORIENTE,1615
80,0.024187160881850904,10883,13,28172324.589905363,9298,-28937977.932004042,0,1188.8188277087033,10320,3478.554393305439,10405,SANTIAGO NORTE,2553
81,0.024360552318385215,10851,19,59459173.83318182,6451,-45057116.75006912,0,829.5349337155142,8060,3182.4086687306503,8913,SANTIAGO ORIENTE,1882
82,0.03713471062511429,10662,21,8647077.574514039,9736,1106456.2723691615,0,1872.0106951871658,10475,3146.55980861244,10453,SANTIAGO PONIENTE,4548
83,0.04714645821854379,10579,7,176788776.6749556,9453,24990947.39058512,0,4892.982213438735,10073,2916.3892857142855,10019,SANTIAGO SUR,1066
84,0.04997502728880726,10445,13,38662307.53083701,8629,-6405680.349928196,0,540.4965596330276,9573,2306.1768292682927,9625,SANTIAGO SUR,1321
85,0.02377971548858262,10436,10,25142705.378773585,8316,-5383132.07119586,0,964.3727915194346,9304,3282.1458333333335,9668,2DA UNIDAD REGIONAL ANTOFAGASTA,2342
86,0.024109443460170136,10321,7,20190799.33430402,8604,193289.04398798567,0,485.0823327615781,9738,3316.863436123348,9867,9NA UNIDAD REGIONAL TEMUCO,5990
87,0.02000729395924918,10312,3,38807173.07113986,9075,-11561652.291505042,0,1248.8825396825396,9997,4092.574468085106,10124,SANTIAGO CENTRO,1805
88,0.03100891837103147,10259,8,24907115.85923913,8419,-14238703.669655912,0,598.267252195734,9462,3216.2739130434784,9799,SANTIAGO SUR,1105
89,0.0369406469337901,10035,6,9026567.055460751,8863,-667071.9482810164,0,412.97569444444446,9747,3026.3611111111113,9819,8VA UNIDAD REGIONAL BIO BIO,2103
90,0.034450482007240296,9926,6,12848140.963636363,8496,-63213.19121499093,0,530.2777777777778,9008,4378.238317757009,9070,8VA UNIDAD REGIONAL BIO BIO,3353
91,0.019439926896773162,9731,3,22418437.63610432,7277,1163986.480937211,0,249.69820788530467,8336,3084.562028047465,8804,10MA UNIDAD REGIONAL LOS LAGOS,2150
92,0.03407465022181684,9644,2,13053585.399725275,7460,10004.946287847366,0,412.905585106383,8140,4441.76012145749,8656,4TA UNIDAD REGIONAL COQUIMBO,3067
93,0.035861226762418194,9404,7,11663918.787440758,5184,-33232532.306784347,0,572.8204456094364,6352,2808.694434721736,6547,SANTIAGO SUR,1606
94,0.027583305451665176,9380,6,66819585.61956235,5587,-39731910.790085286,0,2511.4591113972956,7827,4660.1217239371,7663,SANTIAGO ORIENTE,1414
95,0.02587188959429849,9343,7,26830734.128019325,8929,389859.82232687576,0,1327.942857142857,9308,4921.413793103448,9314,SANTIAGO SUR,865
96,0.03500833067692077,9201,8,20172946.725274727,8109,3374414.55124443,0,3130.528368794326,8919,3445.576512455516,8920,2DA UNIDAD REGIONAL ANTOFAGASTA,1691
97,0.026248884215699778,8390,1,6720964.663072776,7648,2026396.3691299167,0,672.5925925925926,8255,2591.8611111111113,8282,SANTIAGO SUR,994
98,0.05534507655300976,8387,3,7007298.461838006,7103,-2401691.985095982,0,1281.373287671233,8095,3102.1493902439024,8059,SANTIAGO SUR,1108
99,0.031134824341218482,8077,10,17424162.493506495,6845,8097692.710907515,0,805.4263959390863,7683,4211.2827586206895,7642,SANTIAGO ORIENTE,2697
100,0.02859793876965659,7959,8,11898210.936723163,7074,195087.20228671943,0,429.14772727272725,7695,2566.0564516129034,7711,SANTIAGO SUR,1691
101,0.03036148759293905,7958,1,44171200.88099808,7437,-2688542.358381503,0,427.878453038674,7777,3181.4862385321103,7849,SANTIAGO SUR,1010
102,0.05178951307661723,7912,10,17720912.254752852,6597,9979034.164939333,0,1849.463503649635,7638,4519.213450292397,7570,SANTIAGO SUR,1297
103,0.027572770202563816,7864,1,17138609.31300813,6388,3395885.458418108,0,242.93415007656967,7211,2935.585623678647,7391,8VA UNIDAD REGIONAL BIO BIO,4372
104,0.034434595747881304,7822,13,83021040.01825294,6288,-22990001.44285349,0,999.2022613065327,7026,3056.835787089468,6939,SANTIAGO SUR,1168
105,0.061349849683808376,7783,16,17856225.920289855,6265,597372.3316201979,0,3190.1647597254005,7346,5413.317135549873,7001,SANTIAGO ORIENTE,892
106,0.017619499490177895,7687,6,19356832.759670783,6472,-2365924.903213217,0,298.0603112840467,7173,3720.543417366947,7330,8VA UNIDAD REGIONAL BIO BIO,1157
107,0.0326310036224997,7468,4,8275556.4303448275,6743,-745276.8452062132,0,1064.4205607476636,7254,3563.909090909091,7325,SANTIAGO SUR,1045
108,0.045332382579156665,7445,4,33887875.73688156,6111,-1865927.8725319006,0,3763.128595600677,6854,2711.8406015037594,6780,SANTIAGO SUR,873
109,0.027913650460837294,7227,6,14886593.537283622,5725,2130795.9489414697,0,233.86138613861385,6621,3583.738683127572,6741,5TA UNIDAD REGIONAL VALPARAISO,3969
110,0.054777977945297686,7192,2,8047221.105193076,6441,16103.007091212457,0,1714.036842105263,7002,3965.680412371134,6998,5TA UNIDAD REGIONAL VALPARAISO,4434
111,0.03879475881268828,7096,2,10758821.639880951,6424,-7991759.585400226,0,507.51063829787233,6955,2956.36,6971,SANTIAGO SUR,692
112,0.2090489315046047,7076,0,10475804.746067416,6631,-59016.10076314302,0,2686.1466666666665,7001,4522.290322580645,7045,5TA UNIDAD REGIONAL VALPARAISO,701
113,0.09356400269110426,7040,102,7478007.694497154,5986,-879358.7853693182,0,406.21611001964635,6531,2396.0876404494384,6595,1RA UNIDAD REGIONAL IQUIQUE,547
114,0.019275472385467656,7026,11,13647337.55960265,5818,789805.1733561059,0,267.28483606557376,6538,3242.5267379679144,6652,5TA UNIDAD REGIONAL VALPARAISO,3385
115,0.020026823533821222,6800,1,15006236.640834576,5458,2312642.3264705883,0,245.1563025210084,6205,2785.958536585366,6390,5TA UNIDAD REGIONAL VALPARAISO,3777
116,0.022584049458620775,6775,6,27885349.303255815,5700,-3193721.000295203,0,768.3922155688623,6441,4563.224358974359,6463,SANTIAGO ORIENTE,2025
117,0.027438490225101923,6741,6,45628953.86755647,5767,-1596024.621866192,0,210.45454545454547,6323,2607.0389221556884,6407,2DA UNIDAD REGIONAL ANTOFAGASTA,4479
118,0.037791994553664554,6674,5,20073192.712615386,5049,-6711300.688642493,0,1157.676923076923,5894,2004.4823695345558,5965,SANTIAGO SUR,644
119,0.028610101791443812,6667,2,49327250.811529934,5314,-33387110.288285587,0,436.7269503546099,6103,3216.4169014084505,6312,4TA UNIDAD REGIONAL COQUIMBO,3979
120,0.036999498982916074,6498,6,10980056.241493776,5293,1364630.322560788,0,1246.9237588652481,5934,2317.1946308724832,6051,5TA UNIDAD REGIONAL VALPARAISO,670
121,0.025610941629529857,6492,11,11541041.641316686,5611,466446.00693160814,0,649.0315789473684,6207,2915.1272727272726,6272,SANTIAGO SUR,2354
122,0.03776405152705664,6300,4,19755743.432360742,5546,-1476837.2844444443,0,463.293023255814,6085,2543.5513513513515,6115,SANTIAGO SUR,708
123,0.0247533036090234,6283,2,38526942.050683826,5040,-249677.5823651122,0,537.2605633802817,5715,3278.8818443804034,5936,10MA UNIDAD REGIONAL LOS LAGOS,3694
124,0.0322613809402765,6244,1,6909549.794871795,5737,213842.401024984,0,2369.7419354838707,6089,3317.9036144578313,6161,10MA UNIDAD REGIONAL LOS LAGOS,3175
125,0.04717357330996509,6221,4,15973862.303816793,5566,10480.13759845684,0,4327.326241134751,6080,3065.2213740458014,6090,10MA UNIDAD REGIONAL LOS LAGOS,746
126,0.02630879010733819,6215,6,16373961.670731707,5477,3452085.2582461787,0,353.45544554455444,6013,3746.373056994819,6022,SANTIAGO ORIENTE,1158
127,0.04897878842929394,6099,5,11484780.088343559,5284,-20959927.7563535,0,1332.142857142857,5917,3978.8815789473683,5947,SANTIAGO ORIENTE,1659
128,0.02685303168425217,5919,5,15117441.6123348,4103,-1261997.2463253927,0,165.58152173913044,4815,2679.6090225563908,5121,SANTIAGO SUR,1119
129,0.05493064244566248,5813,11,36144250.67424242,2381,8398861.952520214,0,2749.964351567302,4186,2741.9513812154696,3098,SANTIAGO CENTRO,1077
130,0.04528783274569558,5761,3,42633773.32718327,4948,66921411.79222357,0,2416.1575562700964,5450,3897.0,5423,8VA UNIDAD REGIONAL BIO BIO,1054
131,0.02663725498821191,5733,3,14080595.96002805,4307,-6301880.779347637,0,531.3873015873016,5103,3018.4263959390864,5339,8VA UNIDAD REGIONAL BIO BIO,1798
132,0.01914084958617154,5700,4,23380735.084158417,5296,660637.3242105263,0,1349.9166666666667,5664,4048.9565217391305,5654,SANTIAGO SUR,859
133,0.04738383387465703,5518,7,6057731.691385559,1931,42189071.271293946,0,1149.829326923077,3854,2697.5569620253164,4412,5TA UNIDAD REGIONAL VALPARAISO,622
134,0.0342437045888982,5496,4,15182038.733668342,4899,-1499918.9768922853,0,555.2443181818181,5320,2688.309090909091,5276,SANTIAGO ORIENTE,701
135,0.028509512318312565,5439,5,14050983.93469709,4168,6899256.70288656,0,186.0702614379085,4827,3640.105577689243,4937,9NA UNIDAD REGIONAL TEMUCO,3539
136,0.10078990461369268,5345,5,61924542.31587057,4696,6948265.966697848,0,1180.8523489932886,5196,2864.4809160305344,5214,SANTIAGO ORIENTE,667
137,0.04441009046016742,5197,6,73603129.1575,3597,-52730383.98191264,0,1373.3733195449845,4230,3637.28125,4333,5TA UNIDAD REGIONAL VALPARAISO,3043
138,0.041313599026577365,5102,4,23137257.936320756,4254,246176873.17875344,0,1675.3032490974729,4825,2355.5819209039546,4748,SANTIAGO ORIENTE,691
139,0.023221369342468014,5054,3,7218110.720754717,4524,-979376.9430154333,0,727.3768844221106,4855,3264.291044776119,4920,SANTIAGO SUR,994
140,0.035554340098560434,5039,9,42410200.79581994,4417,22434555.313157372,0,1161.2919708029196,4765,3332.9,4809,10MA UNIDAD REGIONAL LOS LAGOS,3055
141,0.03612035235208305,4938,4,28635395.50955414,4310,6886215.763669502,0,476.36614173228344,4684,3188.434027777778,4650,SANTIAGO SUR,1447
142,0.02480446420855033,4895,7,16268844.888349514,4071,-10244622.129928498,0,659.8456375838927,4597,2628.4561403508774,4610,SANTIAGO SUR,519
143,0.030028077474381656,4880,13,96797602.95438597,4310,-5253674.304918033,0,890.2442396313364,4663,3480.109375,4688,SANTIAGO SUR,662
144,0.037791624863579294,4793,2,40115856.67721519,1949,-80005644.1564782,0,744.4064136125654,3265,3523.949815108294,2900,SANTIAGO ORIENTE,1091
145,0.03092206823799857,4780,2,5873830.01369863,4269,-151850.8420502092,0,240.63768115942028,4573,2876.503759398496,4647,8VA UNIDAD REGIONAL BIO BIO,1914
146,0.034334811223517864,4711,5,1123401421.5591054,2520,829164722.6132456,0,2358.189534141672,3144,4391.842003853564,2635,SANTIAGO ORIENTE,1184
147,0.03499750006316625,4656,24,113479664.11690141,3236,-61225272.02835052,0,595.1049030786774,3779,2423.5134189031505,3799,SANTIAGO ORIENTE,1105
148,0.026085019805110913,4651,6,10431652.126234906,3740,846685.5216082563,0,381.848,4276,3139.887195121951,4323,SANTIAGO CENTRO,1378
149,0.09808899151915193,4578,6,13584028.859550562,4044,193046.79030144168,0,479.24905660377357,4313,3755.9,4418,SANTIAGO PONIENTE,615
150,0.025482581728791247,4565,2,12540000.294117646,3664,3041250.256297919,0,293.6243093922652,4203,3463.4921875,4309,6TA UNIDAD REGIONAL RANCAGUA,1124
151,0.03901316128209686,4520,2,19578395.621880997,3999,65451.649778761064,0,949.8333333333334,4412,2871.608695652174,4428,SANTIAGO SUR,477
152,0.045881247675622065,4484,32,55682976.71052632,3686,-15725799.691347012,0,1508.6230598669622,4033,3962.348884381339,3991,5TA UNIDAD REGIONAL VALPARAISO,1598
153,0.047535933340511254,4397,1,33703369.33481482,3722,-36098896.983170345,0,1901.338028169014,4255,2789.8841463414633,4233,SANTIAGO ORIENTE,786
154,0.028962300068842605,4396,5,8634758.953818828,3833,777447.5145586897,0,499.2705882352941,4226,3368.6375838926174,4247,SANTIAGO SUR,1316
155,0.04585552203651497,4368,18,12685809.56862745,3144,-3017745.0943223443,0,480.01536312849163,3652,3720.82962962963,3828,8VA UNIDAD REGIONAL BIO BIO,1605
156,0.043572420576472745,4339,7,205401211.31407943,3785,-17984755.086425442,0,2723.395209580838,4172,3207.277777777778,4141,SANTIAGO CENTRO,935
157,0.3348924258490674,4304,4,4822503.9443099275,3891,4477270.239312268,0,1470.5581395348838,4218,3033.095890410959,4231,8VA UNIDAD REGIONAL BIO BIO,666
158,0.1200157018940267,4245,4,11402046.067264574,3799,-1097298.7057714958,0,652.7410714285714,4133,2792.8387096774195,4121,8VA UNIDAD REGIONAL BIO BIO,431
159,0.13742843754414522,4237,2,5620107.532299741,3850,917468.8274722681,0,686.5535714285714,4125,4075.684210526316,4180,SANTIAGO SUR,1025
160,0.04121484255010747,4203,4,77382615.68982944,2620,255344040.8684273,0,1130.8920245398774,3388,2954.914454277286,3525,10MA UNIDAD REGIONAL LOS LAGOS,562
161,0.017439977018016237,4091,4,12325321.844978167,3175,289459.21779516013,0,309.31900452488685,3649,3403.625,3699,SANTIAGO CENTRO,1094
162,0.03301770712116746,4068,4,11684380.295906432,3213,3731499.9518190757,0,258.848635235732,3665,2877.8253968253966,3816,7MA UNIDAD REGIONAL MAULE,2702
163,0.028632915395435023,4032,3,11406525.573975045,3471,1750621.2375992064,0,268.7823834196891,3839,2625.274647887324,3890,5TA UNIDAD REGIONAL VALPARAISO,1892
164,0.06847749811851483,4030,27,33811941.504087195,3296,-9552838.694540942,0,769.1302325581395,3600,3618.1878048780486,3620,7MA UNIDAD REGIONAL MAULE,2196
165,0.030478702692148918,3985,1,13040639.446380697,3239,1386637.8288582184,0,335.9751552795031,3663,3165.2252964426875,3732,5TA UNIDAD REGIONAL VALPARAISO,2422
166,0.02025378748938015,3981,3,12115014.922867514,2879,18837426.22933936,0,402.66515151515154,3321,3153.7845036319613,3568,10MA UNIDAD REGIONAL LOS LAGOS,1550
167,0.050843142499162906,3974,0,3620986.8672985784,3552,-256581.27730246604,0,565.0459770114943,3887,2141.267441860465,3888,SANTIAGO SUR,303
168,0.025788411548504614,3955,0,8487961.501730103,3088,2355155.796965866,0,218.84112149532712,3527,2720.449275362319,3748,10MA UNIDAD REGIONAL LOS LAGOS,2105
169,0.02870162403231234,3946,3,13008246.62083781,3015,-1199670.313482007,0,624.2212389380531,3494,3997.345755693582,3463,8VA UNIDAD REGIONAL BIO BIO,844
170,0.04178791196403923,3942,3,3217989.90990991,3609,-338717.8962455606,0,669.2285714285714,3872,2737.6428571428573,3886,SANTIAGO SUR,479
171,0.029925044211349092,3852,1,10296804.4536862,3323,4492693.94755971,0,1720.1764705882354,3801,2690.296296296296,3798,SANTIAGO CENTRO,492
172,0.023353669714320215,3830,3,7897998.771802326,3142,17249399.74778068,0,477.73454545454547,3555,3154.722222222222,3650,7MA UNIDAD REGIONAL MAULE,1258
173,0.06169853128812917,3819,3,11990925.291563276,3013,412575.24797067296,0,837.8382687927107,3380,3119.0232558139537,3475,SANTIAGO PONIENTE,1196
174,0.028838580366443906,3805,1,15488694.76933896,3094,2291400.2220762153,0,846.4277456647399,3459,5158.308056872038,3383,8VA UNIDAD REGIONAL BIO BIO,1853
175,0.01989783493906512,3729,4,1284185.4069767443,3385,1052557.8063824081,0,1171.358208955224,3662,3065.576923076923,3703,SANTIAGO SUR,608
