,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
400,401,0.025380155589840435,50,0,136385797.0,48,5422751.9,0,54.5,48,2194.222222222222,41,SANTIAGO SUR,50,401.0,0.0013212634082267808,0.3470434383486601,514297.0,206609332.0,0.0013230114548507398
401,402,0.033742004118335375,47,0,20787729.0,37,25622791.936170213,0,257.14285714285717,40,7844.5,41,6TA UNIDAD REGIONAL RANCAGUA,47,402.0,0.9241091199476488,0.9188091003725056,2260794921.0,2101093775.0,12.176813858400077
402,403,0.0894062980378958,44,0,25129889.6,39,5737081.318181818,0,67.5,42,8126.6,34,2DA UNIDAD REGIONAL ANTOFAGASTA,44,403.0,0.13472912078634305,0.43411799431882014,41405983.0,204002559.0,0.15570744841058623
403,404,0.019326889491644766,44,0,436695.5,42,26389.727272727272,0,164.0,43,2947.0,43,SANTIAGO CENTRO,44,404.0,0.053079360116466814,0.11290086362741822,21730.0,49337.0,0.05605470815695318
404,405,0.023664209677057412,43,0,34876152.192307696,17,-39862938.8372093,0,134.15,23,4651.4,33,5TA UNIDAD REGIONAL VALPARAISO,43,405.0,0.8977087334752596,0.8208591997142113,1216622912.0,635233300.0,8.776005654970918
405,406,0.04513188465864873,32,0,116921404.38461539,19,10154292.90625,0,179.5,24,4388.1,22,4TA UNIDAD REGIONAL COQUIMBO,32,406.0,0.05495789805084231,0.34647706552063673,157213130.0,1433255168.0,0.05815391498166183
406,407,0.03324828729776394,24,0,57043484.875,8,-73130425.83333333,0,1862.8333333333333,12,4774.529411764706,7,SANTIAGO ORIENTE,24,407.0,0.3645194410952697,0.3719907912209037,1304778111.0,1347362365.0,0.5736122623853824
407,408,0.016564997952237686,21,0,27142703.5,19,4152424.1904761903,0,28.0,19,3279.6666666666665,18,SANTIAGO SUR,21,408.0,,0.42751229208616637,,95573560.0,
408,409,0.060525778297598365,20,0,125456211.13333334,5,-35266654.0,0,151.1818181818182,9,3741.923076923077,7,SANTIAGO NORTE,20,409.0,0.05689945523998476,0.3847355151222948,65821542.0,682210455.0,0.06033233206801254
409,410,0.2885733067649482,20,0,1782356.6666666667,17,1257885.5,0,350.0,18,960.0,19,SANTIAGO NORTE,20,410.0,0.01782608205725397,0.4396774898879779,362270.0,15662498.0,0.01814961864859163
410,411,0.03675466810764335,18,0,334367748.0,6,-109381956.05555555,0,394.25,10,6691.833333333333,6,5TA UNIDAD REGIONAL VALPARAISO,18,411.0,0.440138885523282,0.38511151380556663,965740652.0,769380580.0,0.7861572703342041
411,412,0.510388748482867,16,0,27920225.0,15,3537784.3125,0,1176.0,15,,16,SANTIAGO PONIENTE,16,412.0,0.15592331540400584,0.5033349073567949,4808787.0,26381519.0,0.18472648072092693
412,413,0.2200254016907939,15,0,2118584.0,14,73920.33333333333,0,82.0,14,4808.0,14,SANTIAGO SUR,15,413.0,,0.7287272507926559,,2102091.0,
413,414,0.11231813498199487,14,0,4254794.5,12,182420.2142857143,0,94.0,12,2313.0,13,3RA UNIDAD REGIONAL ATACAMA,14,414.0,0.06090321630605587,0.31961259746779075,304400.0,2204867.0,0.06485297081573703
414,415,0.03235504533702155,14,0,1296669.6666666667,11,242603.85714285713,0,56.0,13,1548.0,13,7MA UNIDAD REGIONAL MAULE,14,415.0,0.06405147249521308,0.291438716684769,58038.0,348823.0,0.06843482372473254
415,416,0.06369906393313092,13,0,116066696.2,8,142870387.3846154,0,64.66666666666667,10,2596.25,9,SANTIAGO ORIENTE,13,416.0,0.001850208767376445,0.5322111992154078,1387604.0,851676605.0,0.0018536383853685996
416,417,0.023066892864836614,13,0,889360.75,9,22163.30769230769,0,83.5,11,,13,SANTIAGO SUR,13,417.0,0.5899794094943683,0.5642480090258792,321773.0,289567.0,1.4389019067720816
417,418,0.04441594226288086,13,0,33194416.0,12,41780.846153846156,0,72.0,12,6583.333333333333,10,SANTIAGO PONIENTE,13,418.0,,0.38829070181357256,,22541477.0,
418,419,0.9991090439805839,13,1,0.0,12,-221055.46153846153,0,9.0,11,595.0,11,SANTIAGO ORIENTE,13,419.0,0.0011498085823089964,0.0006660010839734947,69654.0,40326.0,0.0011511321639504787
419,420,0.04367122810617278,12,0,2273938.4285714286,5,2512823.0,0,133.42857142857142,5,2126.5,6,5TA UNIDAD REGIONAL VALPARAISO,12,420.0,0.40785104031586805,0.44113681121794673,37257622.0,42698471.0,0.688764260488487
420,421,0.01802810807736424,12,0,7819823.0,11,902633.5,0,43.0,11,3068.0,11,11RA UNIDAD REGIONAL COYHAIQUE,12,421.0,0.47137617744110544,0.6398847408106354,14681300.0,29255252.0,0.8917043790408989
421,422,0.02185383124787722,12,0,202625.0,11,78207.83333333333,0,32.0,11,794.0,11,8VA UNIDAD REGIONAL BIO BIO,12,422.0,0.24658064283914624,0.8413126498431681,27403.0,443906.0,0.327282064756536
422,423,0.042509547565223925,11,0,5528385.5,7,5709937.636363637,0,104.5,7,3340.8,6,SANTIAGO ORIENTE,11,423.0,0.6073133713333291,0.6421155964203786,17752198.0,20594718.0,1.5465598444118211
423,424,0.026030375814515748,10,0,252379.0,9,300195.5,0,65.0,9,1833.0,9,SANTIAGO PONIENTE,10,424.0,0.9189271502126867,0.8625465130098658,8481489.0,4695623.0,11.334585531696522
424,425,1.0,10,2,0.0,9,-3416725.9,0,17.5,8,862.5,8,SANTIAGO PONIENTE,10,425.0,,,,,
