RUT_SOCIEDAD,CAPITAL,UTILIDADES
uqvCUfiMzbGcfFQ1jMz9Mg==,91.0,100.0
Ooodc0z0rOdv2EgIxY/Hug==,94.0,94.0
DywYsDXkmZ8JdVa7xXZnoQ==,109.0,109.0
x+Bybxtxd0ElBpYXb5D70A==,93.33,93.33
ySa7b1dWyDqVVW8XFZ/j5w==,90.0,90.0
riVGxpOUdbafy8/WaGWcTg==,94.60000000000007,100.00000000000007
Evkk0dPEsy7kmHUtUuD2FA==,93.33,93.33
+dQUlYpxL48QlIQb9WRpxw==,90.0,90.0
0w0GlU38jnFdXlBTIIcVGA==,90.0,90.0
csSTpD1xoeml8EOfIXGVrg==,109.0,100.0
6KmqaYnjD4NLHJmGW7ddBA==,109.0,109.0
LHpVpCdppz04tMyYfCOLxg==,107.97999999999999,100.0
6nveI1+butbpP1UapM/AWA==,94.92999999999998,94.92999999999998
DwiwTwIylL3FWGBV8pbk3Q==,91.80000000000001,91.80000000000001
aur9FOTuENyBLY1PNHI3Nw==,108.5,108.5
myo4OxWpYd0255XXj/QGBQ==,110.0,110.0
K5iZKfYqaqeKhpOUjSTaqA==,90.0,90.0
SPU3s2POEb4x3bJMGseUww==,91.0,91.0
XZ+al0IVLl+mbAm3aEBsWw==,94.11,94.11
8DleOPkFktZufIu7ouwctA==,109.0,100.0
s+xVXIL7HtO/jfkAdvbH4Q==,93.33,93.33
tdVI7iFflme9oewrJAkRcw==,90.91,100.0
We1lvpli9jy2/hf4Fwpyrg==,90.0,50.0
uWaL/kg7OQJ6p6U82DwpnQ==,90.0,90.0
gvEBGX8+HEWhMRLd31+tzA==,90.0,90.0
ZVWah6lU5dwO8Io/xblc6Q==,90.0,90.0
zd63fb/cMm/8Yw8iUXwO3w==,92.27999999999999,92.27999999999999
ZUDj5RWjZc3XhGw1i7egGA==,90.0,90.0
PJaDRiu9D8Mla11ggq6smQ==,109.0,100.0
uBEubNY0OTc+6P4LGeMw1g==,90.0,90.0
iQDDjTn9rCOjJH96UbyjIA==,92.70000000000002,92.70000000000002
fqY454/eiLhU8Qd4eBi90w==,110.0,110.0
NRqJaoZ5haNYc1qvVdu1rA==,92.0,92.0
Y769M9B0tmCxvjbGGYxsxQ==,90.0,90.0
WDlCJoU1RJ3r+2KlAPQzqg==,109.0,109.0
qb1CItpr3uQLMCMsVjM4HQ==,106.0,100.0
czhExXZbeAsmqR0dFvFgsg==,105.7,105.7
U8qViUE2YCmuzHTOsSyDeg==,94.74000000000001,94.74000000000001
1ll9/z7fzvWUa4/WTVnWzA==,91.42,91.42
ZtoQRAA/H3Ql5A1jOl0Wsg==,110.0,100.0
jMd4J1yXQBWUgT5eh1Wn4w==,94.0,94.0
K5Bk+rr5HO0nI7rKL82rrw==,90.0,90.0
52ZamP5r691byH1l4yu+8Q==,90.0,90.0
1A4+fu28IQoXjw5fopRbiA==,94.34999999999997,94.34999999999997
OydPhD2tHFHfZJPqsyrV1A==,90.0,90.0
yiEQT8NWs/4IAJKqAlDezw==,90.0,90.0
UHO612F/cODh16ukUuuWeA==,90.0,90.0
chbRqcU4W91NLjWHTDTbfQ==,91.63999999999999,91.63999999999999
jqNfj00T+PzoD+bPKnx9PA==,90.0,90.0
Kt5aX7j+gVz5Nuy6tm6tjg==,90.0,90.0
VgUCt3ZfG0MCIenRqZ8ZRQ==,90.90000000000002,90.90000000000002
+w9RY/CJXHAqsyhO02/Aog==,110.0,100.0
6Z1g2UqSVkGxeEtPLwv9vw==,90.0,90.0
LDgZBboUziPm6SZP/5qMOg==,108.99,100.0
Zt/z9AGJ8BNngU1sPFAUiw==,109.89,100.0
7+n9CvRo7FUpkFmsU+32aQ==,91.0,91.0
OPWjniRRwxehoC2kJ/r/Zg==,91.0,91.0
26gSjJQFEYeJdRgHRc0eCA==,90.0,90.0
xsZQMwXJQCBX4u+9gHBqxQ==,94.0,94.0
0oEVhkDKuTlmQf0tnE+gGw==,91.0,91.0
0+b82f7JbShDgaK63tfc9g==,90.90000000000002,90.90000000000002
/x+P/IJBmuRyS7uUGOgdIg==,110.0,100.0
+KDGQlV23t0xGZ8xt9uWnQ==,90.0,90.0
